record_id,candidate_expression,observed_context,genre,rhetorical_unit,intended_meaning,task_failure_locator,preferred_usage_source_1,preferred_usage_source_2,proposed_classification,replacement_by_sense,status,reviewer,review_date,reject_case_id,allow_case_id,notes
DRL-0106,(?:部门|区域|上下|多方|政企|校地)(?:协同|联动)(?:机制|工作),建立多部门联动机制,generic_formal_soil,governance,说明参与单位职责和决定权限,REG-DRC-106,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,context_controlled,参与单位和职责；数据交换复核程序；决定权限,evidence_gathered,,,DR-CAND-106-REJECT,DR-CAND-106-ALLOW,候选正则限定组织前缀以免误伤水盐联动等科学机制；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0107,(?:多点|靶向|精准)(?:发力|施策),围绕土壤障碍精准施策,generic_formal_soil,recommendation,说明针对性措施和阈值,REG-DRC-107,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,context_controlled,针对限制因素采取措施；按阈值分区处理；报告措施和指标,evidence_gathered,,,DR-CAND-107-REJECT,DR-CAND-107-ALLOW,靶向施肥等具体技术词不在该候选正则内；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0108,(?:同频共振|有机衔接|深度融合),推动监测评价监管深度融合,generic_formal_soil,data_integration,说明数据融合方法或接口,REG-DRC-108,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202202060045,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,context_controlled,连接步骤和数据字段；联合分析方法；数据融合模型及验证,evidence_gathered,,,DR-CAND-108-REJECT,DR-CAND-108-ALLOW,多源数据深度融合和深度融合网络为受控技术语境；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0109,"(?:强化|加强).{0,8}(?:支撑|保障)",强化科技支撑和服务保障,generic_formal_soil,significance,说明提供的资源方法或风险控制,REG-DRC-109,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,context_controlled,提供具体数据或方法；增加人员设备；降低风险；用于具体判断,evidence_gathered,,,DR-CAND-109-REJECT,DR-CAND-109-ALLOW,优选来源指明数据和方法用于何种评价；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0110,"(?:标准化、规范化|规范化、数字化|标准化、数字化).{0,8}(?:管理|模式|建设)",形成标准化规范化数字化管理模式,generic_formal_soil,management,说明标准规程和数字功能,REG-DRC-110,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202202060045,context_controlled,注明执行标准；列明操作规程；说明数字功能和验收指标,evidence_gathered,,,DR-CAND-110-REJECT,DR-CAND-110-ALLOW,候选仅控制叠加标签加管理模式而不限制标准化采样等技术表达；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0111,"(?:释放|激发|挖掘).{0,8}(?:潜力|活力)",充分释放耕地保护潜力,generic_formal_soil,significance,说明可测的改善空间或处理效应,REG-DRC-111,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,default_reject,写明指标现值与目标值；报告处理效应量及不确定性,evidence_gathered,,,DR-CAND-111-REJECT,DR-CAND-111-ALLOW,优选来源以指标权重数值和评价结果表达改善空间；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0112,"(?:注入|增添).{0,8}(?:动力|活力)",为土壤监测增添新活力,generic_formal_soil,significance,说明材料或措施造成的可测变化,REG-DRC-112,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202412230502,default_reject,写明处理材料剂量和指标变化；无数据时删除促进性评价,evidence_gathered,,,DR-CAND-112-REJECT,DR-CAND-112-ALLOW,优选来源直接对应处理条件和土壤或微生物响应；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0113,"(?:迈上|跃上).{0,6}(?:新台阶|新高度)|实现.{0,6}新跨越",推动耕地质量评价迈上新台阶,generic_formal_soil,conclusion,说明方法或指标的实质变化,REG-DRC-113,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,default_reject,说明新增变量方法或精度改善；给出比较对象和结果,evidence_gathered,,,DR-CAND-113-REJECT,DR-CAND-113-ALLOW,优选来源报告R²和RMSE或评价结果而不用阶梯隐喻；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0114,"(?:开启|开创|打开).{0,6}(?:新局面|新篇章|新阶段|新征程)",开启土壤健康研究新篇章,generic_formal_soil,significance,说明研究起点方法或新增证据,REG-DRC-114,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202412230502,default_reject,写明首次检验的问题和证据；无可核查差异时删除新颖性判断,evidence_gathered,,,DR-CAND-114-REJECT,DR-CAND-114-ALLOW,优选来源用研究对象处理和方法界定贡献；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0115,"(?:谱写|绘就|描绘).{0,8}(?:新篇章|新画卷|蓝图)",谱写耕地保护新篇章,generic_formal_soil,significance,说明成果或空间分布产品,REG-DRC-115,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,default_reject,提交具体图件数据集或报告；说明空间分布变量和制图方法,evidence_gathered,,,DR-CAND-115-REJECT,DR-CAND-115-ALLOW,优选来源以空间分布结果和评价指标替代文学化隐喻；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0116,(?:双轮|双引擎|多轮)(?:协同)?驱动,以数据和模型双轮驱动评价,generic_formal_soil,methods,说明数据和模型在分析中的具体作用,REG-DRC-116,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,default_reject,列明输入数据模型算法和验证方法；分别说明两者作用,evidence_gathered,,,DR-CAND-116-REJECT,DR-CAND-116-ALLOW,优选来源指明数据类型模型指标和精度验证；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0117,(?:强强联合|优势互补|聚势赋能|聚力赋能),多家单位强强联合完成调查,generic_formal_soil,collaboration,说明参与单位的职责与交付关系,REG-DRC-117,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,default_reject,列明参与单位职责、数据交接和复核人；删除宣传性组织评价,evidence_gathered,,,DR-CAND-117-REJECT,DR-CAND-117-ALLOW,优选来源用方法分工和实质研究信息支撑结论；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0118,(?:穿透式|嵌入式|伴随式)(?:监管|监督|管理),建立土壤质量穿透式监管机制,generic_formal_soil,quality_control,说明质量检查的阶段对象和责任人,REG-DRC-118,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,default_reject,列明采样制备检测复核阶段的检查项和责任人,evidence_gathered,,,DR-CAND-118-REJECT,DR-CAND-118-ALLOW,优选来源直接报告方法、处理和指标而不用监管比喻；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0119,(?:智慧治理|数字治理)(?:模式|体系|能力)?,提升耕地质量数字治理能力,generic_formal_soil,data_management,说明数据系统功能和管理程序,REG-DRC-119,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202502150061,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202507010320,default_reject,说明数据来源、数据库功能、更新频次、权限和审核程序,evidence_gathered,,,DR-CAND-119-REJECT,DR-CAND-119-ALLOW,优选来源用变量、空间数据和评价方法描述数字工作；检索核对日期2026-08-16；人工土壤学复核待完成
DRL-0120,(?:一体|协同|统筹|联动)(?:化)?推进,统筹推进采样和检测工作,generic_formal_soil,workflow,说明多项任务的时序职责和交接关系,REG-DRC-120,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb202506260313,http://pedologica.issas.ac.cn/trxb/article/abstract/trxb201711270564,default_reject,分项写明采样、检测和复核的责任人、时间及交接要求,evidence_gathered,,,DR-CAND-120-REJECT,DR-CAND-120-ALLOW,优选来源按研究步骤和处理条件表达工作顺序；检索核对日期2026-08-16；人工土壤学复核待完成
